ID	DOCULECT	DOCULECT_OLD	CONCEPT	LANGID	VALUE	FORM	COG	TOKENS	COGID	SEGMENTS	SONARS	PROSTRINGS	CLASSES	NUMBERS	WEIGHTS	IPA	DUPLICATES	LEXSTATID	ALIGNMENT
130	Pom	Pom	2pl		mintoru	mintoru	2pl-	m i n t o r u	13	m i n t o r u	4 7 4 1 7 5 7	AXMBYBZ	MINTURY	.M.C .I.V .N.c .T.C .U.V .R.C .Y.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	mintoru	0	33	- - m i n t o r u
131	Serui_Laut	Serui-Laut (slump)	2pl	53	ma	ma	2pl-1	m a	14	m a	4 7	AX	MA	53.M.C 53.A.V	2.0 1.5	ma	1	33	- - m a - - - - -
132	Kurudu	KURUDU	2pl	69	awati	awati	2pl-	a w a t i	13	a w a t i	7 6 7 1 7	XBYBZ	AWATI	69.A.V 69.W.C 69.A.V 69.T.C 69.I.V	1.5 1.75 1.3 1.75 0.8	awati	0	35	a w a t i
133	Biak_Betew	Biak Betew (Mutus)	2pl		mko	mko	2pl-	m k o	13	m k o	4 1 7	ACZ	MKU	.M.C .K.C .U.V	2.0 1.5 0.8	mko	0	33	- - m - - k o - -
134	Biak_Numfor	Biak Numfoor (Mandori)	2pl		mgo	mgo	2pl-	m g o	13	m g o	4 1 7	ACZ	MKU	.M.C .K.C .U.V	2.0 1.5 0.8	mgo	0	33	- - m - - g o - -
135	Roswar	Roswar	2pl	70	mkon	mkon	2pl-	m k o n	13	m k o n	4 1 7 4	ACYN	MKUN	70.M.C 70.K.C 70.U.V 70.N.c	2.0 1.5 1.3 0.8	mkon	0	36	m k o n
136	Roon	Roon	2pl		mokon	mokon	2pl-	m o k o n	13	m o k o n	4 7 1 7 4	AXBYN	MUKUN	.M.C .U.V .K.C .U.V .N.c	2.0 1.5 1.75 1.3 0.8	mokon	0	33	- - m o - k o n -
137	Dusner	Dusner	2pl	39	mtoen	mtoen	2pl-39	m t o e n	15	m t o e n	4 1 7 7 4	ACYYN	MTUEN	39.M.C 39.T.C 39.U.V 39.E.V 39.N.c	2.0 1.5 1.3 1.3 0.8	mtoen	0	34	m t o e n
138	Arguni	Arguni	2pl	34	mbu|amu	mbu|amu	2pl-1	m b u a m u	14	m b u a m u	4 1 7 7 4 7	ACYYBZ	MPYAMY	34.M.C 34.P.C 34.Y.V 34.A.V 34.M.C 34.Y.V	2.0 1.5 1.3 1.3 1.75 0.8	mbuamu	0	38	m b u a m u
139	As	As (ABVD)	2pl	35	mɔu	mɔu	2pl-1	m ɔ u	14	m ɔ u	4 7 7	AXZ	MUY	35.M.C 35.U.V 35.Y.V	2.0 1.5 0.8	mɔu	0	33	- - m ɔ - - - - u
140	Buli	Buli	2pl	38	meu	meu	2pl-1	m e u	14	m e u	4 7 7	AXZ	MEY	38.M.C 38.E.V 38.Y.V	2.0 1.5 0.8	meu	0	33	- - m e - - u - -
141	Gane	Gane	2pl	41	meu	meu	2pl-1	m e u	14	m e u	4 7 7	AXZ	MEY	41.M.C 41.E.V 41.Y.V	2.0 1.5 0.8	meu	0	33	- - m e - - u - -
142	Gebe	Gebe	2pl	42	mevia	mevia	2pl-1	m e β i a	14	m e β i a	4 7 3 7 7	AXBYZ	MEBIA	42.M.C 42.E.V 42.B.C 42.I.V 42.A.V	2.0 1.5 1.75 1.3 0.8	meβia	0	33	- - m e β - i - a
143	Ambel	Ambel (rem)	2pl	32	mewa	mewa	2pl-1	m e w a	14	m e w a	4 7 6 7	AXBZ	MEWA	32.M.C 32.E.V 32.W.C 32.A.V	2.0 1.5 1.75 0.8	mewa	0	33	- - m e w - - - a
144	Matbat	Matbat	2pl	47	mi²¹na	mi²¹na	2pl-1	m ²¹/i n a	14	m i n a	4 7 4 7	AXBZ	MINA	47.M.C 47.I.V 47.N.C 47.A.V	2.0 1.5 1.75 0.8	mina	0	33	- - m ²¹/i n - - - a
145	Maya_Salawati	Ma'ya Salawati	2pl	49	mi	mi	2pl-1	m i	14	m i	4 7	AX	MI	49.M.C 49.I.V	2.0 1.5	mi	0	33	- - m i - - - - -
146	Sawai	Sawai (CAD)	2pl	51	mew	mew	2pl-1	m e w	14	m e w	4 7 6	AXN	MEW	51.M.C 51.E.V 51.W.c	2.0 1.5 0.8	mew	0	33	- - m e w - - - -
147	Sekar	Sekar (ABVD)	2pl	52	imi	imi	2pl-1	i m i	14	i m i	7 4 7	XBZ	IMI	52.I.V 52.M.C 52.I.V	1.5 1.75 0.8	imi	0	33	- i m i - - - - -
148	Taba	Taba	2pl	54	meu	meu	2pl-1	m e u	14	m e u	4 7 7	AXZ	MEY	54.M.C 54.E.V 54.Y.V	2.0 1.5 0.8	meu	0	33	- - m e - - u - -
149	Waropen	Waropen (held)	2pl	57	mu	mu	2pl-1	m u	14	m u	4 7	AX	MY	57.M.C 57.Y.V	2.0 1.5	mu	0	33	- - m u - - - - -
150	Umar	Umar	2pl	55	amu	amu	2pl-1	a m u	14	a m u	7 4 7	XBZ	AMY	55.A.V 55.M.C 55.Y.V	1.5 1.75 0.8	amu	0	33	- a m u - - - - -
151	Yaur	Yaur	2pl	59	ámú'è	ámú'è	2pl-1	á m ú ʔ è	14	á m ú ʔ è	7 4 7 1 7	XBYBZ	AMYHE	59.A.V 59.M.C 59.Y.V 59.H.C 59.E.V	1.5 1.75 1.3 1.75 0.8	ámúʔè	0	33	- á m ú ʔ - è - -
152	Yerisiam	Yerisiam	2pl	60	ánéemé	ánéemé	2pl-1	á n é e m é	14	á n é e m é	7 4 7 7 4 7	XBYYBZ	ANEEME	60.A.V 60.N.C 60.E.V 60.E.V 60.M.C 60.E.V	1.5 1.75 1.3 1.3 1.75 0.8	ánéemé	0	37	á n é e m é
153	Moor	Moor	2pl	50	amù, mu'ó	amù	2pl-1	a m ù	14	a m ù	7 4 7	XBZ	AMY	50.A.V 50.M.C 50.Y.V	1.5 1.75 0.8	amù	0	33	- a m ù - - - - -
154	Warembori	Warembori	2pl	56	mi	mi	2pl-1	m i	14	m i	4 7	AX	MI	56.M.C 56.I.V	2.0 1.5	mi	0	33	- - m i - - - - -
155	Cebuano_outgroup	Cebuano	2sg		ikáw	ikáw	2sg-1	i k á w	17	i k á w	7 1 7 6	XBYN	IKAW	.I.V .K.C .A.V .W.c	1.5 1.75 1.3 0.8	ikáw	0	41	i k á w
158	Wamesa	WAD	2sg	30	au	au	2sg-1	a u	17	a u	7 7	XZ	AY	30.A.V 30.Y.V	1.5 0.8	au	0	39	- a u -
159	Ambai	Ambai	2sg	31	wau	wau	2sg-1	w a u	17	w a u	6 7 7	AXZ	WAY	31.W.C 31.A.V 31.Y.V	2.0 1.5 0.8	wau	0	39	w a u -
160	Ansus_PD	Ansus (P&D)	2sg	33	au	au	2sg-1	a u	17	a u	7 7	XZ	AY	33.A.V 33.Y.V	1.5 0.8	au	0	39	- a u -
161	Ansus_EG	Ansus (EG)	2sg		au	au	2sg-	a u	16	a u	7 7	XZ	AY	.A.V .Y.V	1.5 0.8	au	1	39	- a u -
162	Pom	Pom	2sg		au	au	2sg-	a u	16	a u	7 7	XZ	AY	.A.V .Y.V	1.5 0.8	au	0	39	- a u -
163	Serui_Laut	Serui-Laut (slump)	2sg	53	wau	wau	2sg-1	w a u	17	w a u	6 7 7	AXZ	WAY	53.W.C 53.A.V 53.Y.V	2.0 1.5 0.8	wau	0	39	w a u -
164	Kurudu	KURUDU	2sg	69	awa	awa	2sg-	a w a	16	a w a	7 6 7	XBZ	AWA	69.A.V 69.W.C 69.A.V	1.5 1.75 0.8	awa	0	40	- a w a
165	Biak	Biak	2sg	36	au	au	2sg-1	a u	17	a u	7 7	XZ	AY	36.A.V 36.Y.V	1.5 0.8	au	0	39	- a u -
166	Biak_Betew	Biak Betew (Mutus)	2sg		au	au	2sg-	a u	16	a u	7 7	XZ	AY	.A.V .Y.V	1.5 0.8	au	0	39	- a u -
167	Biak_Numfor	Biak Numfoor (Mandori)	2sg		au	au	2sg-	a u	16	a u	7 7	XZ	AY	.A.V .Y.V	1.5 0.8	au	0	39	- a u -
168	Roswar	Roswar	2sg	70	au	au	2sg-	a u	16	a u	7 7	XZ	AY	70.A.V 70.Y.V	1.5 0.8	au	0	39	- a u -
169	Roon	Roon	2sg		aw	aw	2sg-	a w	16	a w	7 6	XN	AW	.A.V .W.c	1.5 0.8	aw	0	41	- - a w
170	Dusner	Dusner	2sg	39	au	au	2sg-1	a u	17	a u	7 7	XZ	AY	39.A.V 39.Y.V	1.5 0.8	au	0	39	- a u -
171	As	As (ABVD)	2sg	35	awa	awa	2sg-1	a w a	17	a w a	7 6 7	XBZ	AWA	35.A.V 35.W.C 35.A.V	1.5 1.75 0.8	awa	0	40	- a w a
172	Biga	Biga (rem)	2sg	37	awa	awa	2sg-1	a w a	17	a w a	7 6 7	XBZ	AWA	37.A.V 37.W.C 37.A.V	1.5 1.75 0.8	awa	0	40	- a w a
173	Buli	Buli	2sg	38	au	au	2sg-1	a u	17	a u	7 7	XZ	AY	38.A.V 38.Y.V	1.5 0.8	au	0	39	- a u -
174	Fiawat	Fiawat (fiawat)	2sg	40	aw	aw	2sg-1	a w	17	a w	7 6	XN	AW	40.A.V 40.W.c	1.5 0.8	aw	0	40	- a w -
175	Gane	Gane	2sg	41	au	au	2sg-1	a u	17	a u	7 7	XZ	AY	41.A.V 41.Y.V	1.5 0.8	au	0	39	- a u -
176	Gebe	Gebe	2sg	42	auya	auya	2sg-1	a u j a	17	a u j a	7 7 6 7	XYBZ	AYJA	42.A.V 42.Y.V 42.J.C 42.A.V	1.5 1.3 1.75 0.8	auja	0	44	a u j a
177	Kawe	Kawe (rem)	2sg	44	wawa	wawa	2sg-1	w a w a	17	w a w a	6 7 6 7	AXBZ	WAWA	44.W.C 44.A.V 44.W.C 44.A.V	2.0 1.5 1.75 0.8	wawa	0	40	w a w a
178	Kowiai	Kowiai	2sg	45	au, o	au	2sg-1	a u	17	a u	7 7	XZ	AY	45.A.V 45.Y.V	1.5 0.8	au	0	39	- a u -
179	Laganyan	Laganyan	2sg	46	awa	awa	2sg-1	a w a	17	a w a	7 6 7	XBZ	AWA	46.A.V 46.W.C 46.A.V	1.5 1.75 0.8	awa	0	40	- a w a
180	Irarutu	Irarutu (Mats)	2sg	43	ó	ó	2sg-1	ó	17	ó	7	X	U	43.U.V	1.5	ó	0	42	ó
181	Ambel	Ambel (rem)	2sg	32	awa	awa	2sg-1	a w a	17	a w a	7 6 7	XBZ	AWA	32.A.V 32.W.C 32.A.V	1.5 1.75 0.8	awa	0	40	- a w a
182	Matbat	Matbat	2sg	47	ya²¹w	ya²¹w	2sg-1	j ²¹/a w	17	j a w	6 7 6	AXN	JAW	47.J.C 47.A.V 47.W.c	2.0 1.5 0.8	jaw	1	41	- j ²¹/a w
183	Maya_Misool	Ma'ya Misool	2sg	48	awa	awa	2sg-1	a w a	17	a w a	7 6 7	XBZ	AWA	48.A.V 48.W.C 48.A.V	1.5 1.75 0.8	awa	0	40	- a w a
184	Maya_Salawati	Ma'ya Salawati	2sg	49	awa	awa	2sg-1	a w a	17	a w a	7 6 7	XBZ	AWA	49.A.V 49.W.C 49.A.V	1.5 1.75 0.8	awa	0	40	- a w a
185	Sawai	Sawai (CAD)	2sg	51	aw	aw	2sg-1	a w	17	a w	7 6	XN	AW	51.A.V 51.W.c	1.5 0.8	aw	0	41	- - a w
186	Sekar	Sekar (ABVD)	2sg	52	o	o	2sg-1	o	17	o	7	X	U	52.U.V	1.5	o	0	42	o
187	Taba	Taba	2sg	54	au	au	2sg-1	a u	17	a u	7 7	XZ	AY	54.A.V 54.Y.V	1.5 0.8	au	0	39	- a u -
188	Wauyai	Wauyai	2sg	58	awa	awa	2sg-1	a w a	17	a w a	7 6 7	XBZ	AWA	58.A.V 58.W.C 58.A.V	1.5 1.75 0.8	awa	0	40	- a w a
189	Waropen	Waropen (held)	2sg	57	auo	auo	2sg-1	a u o	17	a u o	7 7 7	XYZ	AYU	57.A.V 57.Y.V 57.U.V	1.5 1.3 0.8	auo	0	39	- a u o
190	Umar	Umar	2sg	55	ate	ate	2sg-1	a t e	17	a t e	7 1 7	XBZ	ATE	55.A.V 55.T.C 55.E.V	1.5 1.75 0.8	ate	0	43	a t e
191	Yaur	Yaur	2sg	59	a, á'è	a	2sg-1	a	17	a	7	X	A	59.A.V	1.5	a	0	39	- a - -
192	Yerisiam	Yerisiam	2sg	60	a, àné	a	2sg-1	a	17	a	7	X	A	60.A.V	1.5	a	0	39	- a - -
193	Moor	Moor	2sg	50	á	á	2sg-1	á	17	á	7	X	A	50.A.V	1.5	á	0	39	- á - -
194	Warembori	Warembori	2sg	56	awi	awi	2sg-1	a w i	17	a w i	7 6 7	XBZ	AWI	56.A.V 56.W.C 56.I.V	1.5 1.75 0.8	awi	0	40	- a w i
195	Cebuano_outgroup	Cebuano	3pl		sila	sila	3pl-1	s i l a	19	s i l a	3 7 5 7	AXBZ	SILA	.S.C .I.V .L.C .A.V	2.0 1.5 1.75 0.8	sila	0	45	- s - i l a -
198	Wamesa	WAD	3pl	30	sia	sia	3pl-1	s i a	19	s i a	3 7 7	AXZ	SIA	30.S.C 30.I.V 30.A.V	2.0 1.5 0.8	sia	0	45	- s - i - a -
199	Ambai	Ambai	3pl	31	ea	ea	3pl-1	e a	19	e a	7 7	XZ	EA	31.E.V 31.A.V	1.5 0.8	ea	0	47	e a
200	Ansus_PD	Ansus (P&D)	3pl	33	ya	ya	3pl-1	j a	19	j a	6 7	AX	JA	33.J.C 33.A.V	2.0 1.5	ja	0	45	- j - - - a -
201	Pom	Pom	3pl		tioru	tioru	3pl-	t i o r u	18	t i o r u	1 7 7 5 7	AXYBZ	TIURY	.T.C .I.V .U.V .R.C .Y.V	2.0 1.5 1.3 1.75 0.8	tioru	0	46	t i o r u
202	Serui_Laut	Serui-Laut (slump)	3pl	53	sa	sa	3pl-1	s a	19	s a	3 7	AX	SA	53.S.C 53.A.V	2.0 1.5	sa	0	45	- s - - - a -
203	Kurudu	KURUDU	3pl	69	manekripesi	manekripesi	3pl-	m a n e k r i p e s i	18	m a n e k r i p e s i	4 7 4 7 1 5 7 1 7 3 7	AXBYBCYBYBZ	MANEKRIPESI	69.M.C 69.A.V 69.N.C 69.E.V 69.K.C 69.R.C 69.I.V 69.P.C 69.E.V 69.S.C 69.I.V	2.0 1.5 1.75 1.3 1.75 1.5 1.3 1.75 1.3 1.75 0.8	manekripesi	0	48	m a n e k r i p e s i
204	Biak	Biak	3pl	36	si	si	3pl-1	s i	19	s i	3 7	AX	SI	36.S.C 36.I.V	2.0 1.5	si	0	45	- - - - s i -
205	Biak_Betew	Biak Betew (Mutus)	3pl		tko, ti, si	tko	3pl-	t k o	18	t k o	1 1 7	ACZ	TKU	.T.C .K.C .U.V	2.0 1.5 0.8	tko	0	45	- t - - k o -
206	Biak_Numfor	Biak Numfoor (Mandori)	3pl		sko, si	sko	3pl-	s k o	18	s k o	3 1 7	ACZ	SKU	.S.C .K.C .U.V	2.0 1.5 0.8	sko	0	45	- s - - k o -
207	Roswar	Roswar	3pl	70	sia	sia	3pl-	s i a	18	s i a	3 7 7	AXZ	SIA	70.S.C 70.I.V 70.A.V	2.0 1.5 0.8	sia	0	45	- s i a - - -
208	Roon	Roon	3pl		si, na	si	3pl-	s i	18	s i	3 7	AX	SI	.S.C .I.V	2.0 1.5	si	0	45	- s - - - i -
209	Dusner	Dusner	3pl	39	si	si	3pl-1	s i	19	s i	3 7	AX	SI	39.S.C 39.I.V	2.0 1.5	si	0	45	- - - - s i -
210	Arguni	Arguni	3pl	34	sire	sire	3pl-1	s i r e	19	s i r e	3 7 5 7	AXBZ	SIRE	34.S.C 34.I.V 34.R.C 34.E.V	2.0 1.5 1.75 0.8	sire	0	45	- s - i r e -
211	As	As (ABVD)	3pl	35	sia, sire	sia	3pl-1	s i a	19	s i a	3 7 7	AXZ	SIA	35.S.C 35.I.V 35.A.V	2.0 1.5 0.8	sia	0	45	- s i a - - -
212	Buli	Buli	3pl	38	sile	sile	3pl-1	s i l e	19	s i l e	3 7 5 7	AXBZ	SILE	38.S.C 38.I.V 38.L.C 38.E.V	2.0 1.5 1.75 0.8	sile	0	45	- s - i l e -
213	Fiawat	Fiawat (fiawat)	3pl	40	hane	hane	3pl-40	h a n e	21	h a n e	3 7 4 7	AXBZ	HANE	40.H.C 40.A.V 40.N.C 40.E.V	2.0 1.5 1.75 0.8	hane	0	45	- h - a n e -
214	Gane	Gane	3pl	41	si	si	3pl-1	s i	19	s i	3 7	AX	SI	41.S.C 41.I.V	2.0 1.5	si	0	45	- - - - s i -
215	Gebe	Gebe	3pl	42	sia	sia	3pl-1	s i a	19	s i a	3 7 7	AXZ	SIA	42.S.C 42.I.V 42.A.V	2.0 1.5 0.8	sia	0	45	- - - - s i a
216	Kawe	Kawe (rem)	3pl	44	sia, ha'fata	sia	3pl-1	s i a	19	s i a	3 7 7	AXZ	SIA	44.S.C 44.I.V 44.A.V	2.0 1.5 0.8	sia	0	45	- - - - s i a
217	Kawe	Kawe (rem)	3pl	44	sia, ha'fata	ha'fata	3pl-2	_ h a ʔ ɸ a t a	20	_ h a ʔ ɸ a t a	9 3 7 1 3 7 1 7	_AXBCYBZ	_HAHBATA	44._._ 44.H.C 44.A.V 44.H.C 44.B.C 44.A.V 44.T.C 44.A.V	0.0 2.0 1.5 1.75 1.5 1.3 1.75 0.8	_haʔɸata	0	51	_ h a ʔ ɸ a t a
218	Kowiai	Kowiai	3pl	45	si	si	3pl-1	s i	19	s i	3 7	AX	SI	45.S.C 45.I.V	2.0 1.5	si	0	45	- - - - s i -
219	Laganyan	Laganyan	3pl	46	hia	hia	3pl-1	h i a	19	h i a	3 7 7	AXZ	HIA	46.H.C 46.I.V 46.A.V	2.0 1.5 0.8	hia	0	45	- - - - h i a
220	Irarutu	Irarutu (Mats)	3pl	43	ire, írə	ire	3pl-1	i r e	19	i r e	7 5 7	XBZ	IRE	43.I.V 43.R.C 43.E.V	1.5 1.75 0.8	ire	0	45	- - - i r e -
221	Ambel	Ambel (rem)	3pl	32	sia	sia	3pl-1	s i a	19	s i a	3 7 7	AXZ	SIA	32.S.C 32.I.V 32.A.V	2.0 1.5 0.8	sia	0	45	- s i a - - -
222	Matbat	Matbat	3pl	47	hafo²¹	hafo²¹	3pl-2	h a ɸ ²¹/o	20	h a ɸ o	3 7 3 7	AXBZ	HABU	47.H.C 47.A.V 47.B.C 47.U.V	2.0 1.5 1.75 0.8	haɸo	0	49	h a ɸ ²¹/o
223	Maya_Misool	Ma'ya Misool	3pl	48	sia	sia	3pl-1	s i a	19	s i a	3 7 7	AXZ	SIA	48.S.C 48.I.V 48.A.V	2.0 1.5 0.8	sia	0	45	- - - - s i a
224	Maya_Salawati	Ma'ya Salawati	3pl	49	sia	sia	3pl-1	s i a	19	s i a	3 7 7	AXZ	SIA	49.S.C 49.I.V 49.A.V	2.0 1.5 0.8	sia	0	45	- - - - s i a
225	Sawai	Sawai (CAD)	3pl	51	si	si	3pl-1	s i	19	s i	3 7	AX	SI	51.S.C 51.I.V	2.0 1.5	si	0	45	- - - - s i -
226	Sekar	Sekar (ABVD)	3pl	52	sina	sina	3pl-1	s i n a	19	s i n a	3 7 4 7	AXBZ	SINA	52.S.C 52.I.V 52.N.C 52.A.V	2.0 1.5 1.75 0.8	sina	0	45	- s - i n a -
227	Taba	Taba	3pl	54	si	si	3pl-1	s i	19	s i	3 7	AX	SI	54.S.C 54.I.V	2.0 1.5	si	0	45	- - - - s i -
228	Waropen	Waropen (held)	3pl	57	ki	ki	3pl-1	k i	19	k i	1 7	AX	KI	57.K.C 57.I.V	2.0 1.5	ki	0	45	- - - - k i -
229	Umar	Umar	3pl	55	ihi	ihi	3pl-1	i h i	19	i h i	7 3 7	XBZ	IHI	55.I.V 55.H.C 55.I.V	1.5 1.75 0.8	ihi	0	45	- - - i h i -
230	Yaur	Yaur	3pl	59	óhè	óhè	3pl-1	ó h è	19	ó h è	7 3 7	XBZ	UHE	59.U.V 59.H.C 59.E.V	1.5 1.75 0.8	óhè	0	45	- - - ó h è -
231	Yerisiam	Yerisiam	3pl	60	íníihí	íníihí	3pl-1	í n í i h í	19	í n í i h í	7 4 7 7 3 7	XBYYBZ	INIIHI	60.I.V 60.N.C 60.I.V 60.I.V 60.H.C 60.I.V	1.5 1.75 1.3 1.3 1.75 0.8	íníihí	0	45	í n í i h í -
232	Moor	Moor	3pl	50	ti'ó	ti'ó	3pl-1	t i ʔ ó	19	t i ʔ ó	1 7 1 7	AXBZ	TIHU	50.T.C 50.I.V 50.H.C 50.U.V	2.0 1.5 1.75 0.8	tiʔó	0	50	t i ʔ ó
233	Warembori	Warembori	3pl	56	ti	ti	3pl-1	t i	19	t i	1 7	AX	TI	56.T.C 56.I.V	2.0 1.5	ti	0	46	t i - - -
234	Cebuano_outgroup	Cebuano	3sg		siya	siya	3sg-1	s i j a	23	s i j a	3 7 6 7	AXBZ	SIJA	.S.C .I.V .J.C .A.V	2.0 1.5 1.75 0.8	sija	0	52	s i j a
236	Wamesa	WAD	3sg	30	andi, i	andi	3sg-1	a n d i	23	a n d i	7 4 1 7	XMBZ	ANTI	30.A.V 30.N.c 30.T.C 30.I.V	1.5 1.1 1.75 0.8	andi	0	59	a n d i
237	Wamesa	WAD	3sg	30	andi, i	i	3sg-2	_ i	24	_ i	9 7	_X	_I	30._._ 30.I.V	0.0 1.5	_i	0	53	_ i - -
238	Ambai	Ambai	3sg	31	i	i	3sg-2	i	24	i	7	X	I	31.I.V	1.5	i	0	52	- i - -
239	Ansus_PD	Ansus (P&D)	3sg	33	i	i	3sg-2	i	24	i	7	X	I	33.I.V	1.5	i	0	52	- i - -
240	Pom	Pom	3sg		i	i	3sg-	i	22	i	7	X	I	.I.V	1.5	i	0	52	- i - -
241	Serui_Laut	Serui-Laut (slump)	3sg	53	ia	ia	3sg-2	i a	24	i a	7 7	XZ	IA	53.I.V 53.A.V	1.5 0.8	ia	0	52	- i - a
242	Kurudu	KURUDU	3sg	69	i wane	i wane	3sg-	i _ w a n e	22	i _ w a n e	7 9 6 7 4 7	X_AXBZ	I_WANE	69.I.V 69._._ 69.W.C 69.A.V 69.N.C 69.E.V	1.5 0.0 2.0 1.5 1.75 0.8	i_wane	0	56	i _ w a n e
243	Biak	Biak	3sg	36	i	i	3sg-2	i	24	i	7	X	I	36.I.V	1.5	i	0	52	- i - -
244	Biak_Betew	Biak Betew (Mutus)	3sg		i	i	3sg-	i	22	i	7	X	I	.I.V	1.5	i	0	52	- i - -
245	Biak_Numfor	Biak Numfoor (Mandori)	3sg		i	i	3sg-	i	22	i	7	X	I	.I.V	1.5	i	0	52	- i - -
246	Roswar	Roswar	3sg	70	i	i	3sg-	i	22	i	7	X	I	70.I.V	1.5	i	0	52	- i - -
247	Roon	Roon	3sg		i, ti, ri	i	3sg-	i	22	i	7	X	I	.I.V	1.5	i	0	52	- i - -
248	Dusner	Dusner	3sg	39	ndi, i	ndi	3sg-1	n d i	23	n d i	4 1 7	ACZ	NTI	39.N.C 39.T.C 39.I.V	2.0 1.5 0.8	ndi	0	55	n d i
249	Dusner	Dusner	3sg	39	ndi, i	i	3sg-2	_ i	24	_ i	9 7	_X	_I	39._._ 39.I.V	0.0 1.5	_i	0	53	_ i - -
250	Arguni	Arguni	3sg	34	i	i	3sg-2	i	24	i	7	X	I	34.I.V	1.5	i	0	52	- i - -
251	As	As (ABVD)	3sg	35	ia	ia	3sg-2	i a	24	i a	7 7	XZ	IA	35.I.V 35.A.V	1.5 0.8	ia	0	52	- i - a
252	Buli	Buli	3sg	38	i	i	3sg-2	i	24	i	7	X	I	38.I.V	1.5	i	0	52	- i - -
253	Gane	Gane	3sg	41	i	i	3sg-2	i	24	i	7	X	I	41.I.V	1.5	i	0	52	- i - -
254	Gebe	Gebe	3sg	42	ia	ia	3sg-2	i a	24	i a	7 7	XZ	IA	42.I.V 42.A.V	1.5 0.8	ia	0	52	- i - a
255	Kowiai	Kowiai	3sg	45	i	i	3sg-2	i	24	i	7	X	I	45.I.V	1.5	i	0	52	- i - -
256	Irarutu	Irarutu (Mats)	3sg	43	ia	ia	3sg-2	i a	24	i a	7 7	XZ	IA	43.I.V 43.A.V	1.5 0.8	ia	0	52	- i - a
257	Ambel	Ambel (rem)	3sg	32	iya	iya	3sg-2	i j a	24	i j a	7 6 7	XBZ	IJA	32.I.V 32.J.C 32.A.V	1.5 1.75 0.8	ija	0	54	i j a
258	Maya_Salawati	Ma'ya Salawati	3sg	49	ak	ak	3sg-49	a k	26	a k	7 1	XN	AK	49.A.V 49.K.c	1.5 0.8	ak	0	57	a k
259	Sawai	Sawai (CAD)	3sg	51	i	i	3sg-2	i	24	i	7	X	I	51.I.V	1.5	i	0	52	- i - -
260	Sekar	Sekar (ABVD)	3sg	52	ia	ia	3sg-2	i a	24	i a	7 7	XZ	IA	52.I.V 52.A.V	1.5 0.8	ia	0	52	- i - a
261	Taba	Taba	3sg	54	i	i	3sg-2	i	24	i	7	X	I	54.I.V	1.5	i	0	52	- i - -
262	Waropen	Waropen (held)	3sg	57	i	i	3sg-2	i	24	i	7	X	I	57.I.V	1.5	i	0	52	- i - -
263	Umar	Umar	3sg	55	ije	ije	3sg-3	i d͡ʒ e	25	i d͡ʒ e	7 2 7	XBZ	ICE	55.I.V 55.C.C 55.E.V	1.5 1.75 0.8	id͡ʒe	0	58	i d͡ʒ e
264	Yaur	Yaur	3sg	59	náràvè	náràvè	3sg-59	n á r à β è	27	n á r à β è	4 7 5 7 3 7	AXBYBZ	NARABE	59.N.C 59.A.V 59.R.C 59.A.V 59.B.C 59.E.V	2.0 1.5 1.75 1.3 1.75 0.8	náràβè	0	60	n á r à β è
265	Yerisiam	Yerisiam	3sg	60	ìní	ìní	3sg-3	ì n í	25	ì n í	7 4 7	XBZ	INI	60.I.V 60.N.C 60.I.V	1.5 1.75 0.8	ìní	0	52	- ì n í
266	Moor	Moor	3sg	50	î, ìjo	î	3sg-2	î	24	î	7	X	I	50.I.V	1.5	î	0	52	- î - -
267	Moor	Moor	3sg	50	î, ìjo	ìjo	3sg-3	_ ì d͡ʒ o	25	_ ì d͡ʒ o	9 7 2 7	_XBZ	_ICU	50._._ 50.I.V 50.C.C 50.U.V	0.0 1.5 1.75 0.8	_ìd͡ʒo	0	53	_ ì d͡ʒ o
268	Warembori	Warembori	3sg	56	yi	yi	3sg-2	j i	24	j i	6 7	AX	JI	56.J.C 56.I.V	2.0 1.5	ji	0	52	- - j i
269	Cebuano_outgroup	Cebuano	above		sa itaʔas, ibabaw	sa itaʔas	above-1	s a _ i t a ʔ a s	29	s a _ i t a ʔ a s	3 7 9 7 1 7 1 7 3	AX_XBYBYN	SA_ITAHAS	.S.C .A.V ._._ .I.V .T.C .A.V .H.C .A.V .S.c	2.0 1.5 0.0 1.5 1.75 1.3 1.75 1.3 0.8	sa_itaʔas	0	73	s a _ i t a ʔ a s
270	Cebuano_outgroup	Cebuano	above		sa itaʔas, ibabaw	ibabaw	above-2	_ i b a b a w	30	_ i b a b a w	9 7 1 7 1 7 6	_XBYBYN	_IPAPAW	._._ .I.V .P.C .A.V .P.C .A.V .W.c	0.0 1.5 1.75 1.3 1.75 1.3 0.8	_ibabaw	0	62	_ i b a b a w
273	Wamesa	WAD	above	30	vavo	vavo	above-1	β a β o	29	β a β o	3 7 3 7	AXBZ	BABU	30.B.C 30.A.V 30.B.C 30.U.V	2.0 1.5 1.75 0.8	βaβo	0	61	β a β - - o
274	Ambai	Ambai	above	31	aiayi	aiayi	above-31	a i a j i	31	a i a j i	7 7 7 6 7	XYYBZ	AIAJI	31.A.V 31.I.V 31.A.V 31.J.C 31.I.V	1.5 1.3 1.3 1.75 0.8	aiaji	0	75	a i a j i
